"HumanGene"	"MouseGene"	"HomologyID"	"transID"
"A1BG"	"A1bg"	11167	"ENST00000263100_ENSG00000121410_A1BG"
"A1CF"	"1810073H04Rik"	16363	"ENST00000395489_ENSG00000148584_A1CF"
"A1CF"	"A1cf"	16363	"ENST00000395489_ENSG00000148584_A1CF"
"A2BP1"	"A2bp1"	69339	NA
"A2LD1"	"BC006662"	15522	NA
"A2M"	"A2m"	37248	"ENST00000318602_ENSG00000175899_A2M"
"A3GALT2"	"A3galt2"	16326	"ENST00000442999_ENSG00000184389_A3GALT2"
"A4GALT"	"A4galt"	9690	"ENST00000642412_ENSG00000128274_A4GALT"
"A4GNT"	"A4gnt"	87446	"ENST00000236709_ENSG00000118017_A4GNT"
"AAAS"	"Aaas"	9232	"ENST00000209873_ENSG00000094914_AAAS"
"AACS"	"Aacs"	11322	"ENST00000316519_ENSG00000081760_AACS"
"AADAC"	"Aadac"	37436	"ENST00000232892_ENSG00000114771_AADAC"
"AADACL1"	"Aadacl1"	23251	NA
"AADACL2"	"Aadacl2"	28634	"ENST00000356517_ENSG00000197953_AADACL2"
"AADACL3"	"Aadacl3"	28426	"ENST00000359318_ENSG00000188984_AADACL3"
"AADACL4"	"Aadacl4"	82530	"ENST00000376221_ENSG00000204518_AADACL4"
"AADACL4"	"LOC435815"	82530	"ENST00000376221_ENSG00000204518_AADACL4"
"AADAT"	"Aadat"	56540	"ENST00000509167_ENSG00000109576_AADAT"
"AAGAB"	"Aagab"	11648	"ENST00000261880_ENSG00000103591_AAGAB"
"AAK1"	"Aak1"	75032	"ENST00000409085_ENSG00000115977_AAK1"
"AAMDC"	"Aamdc"	11658	"ENST00000304716_ENSG00000087884_AAMDC"
"AAMP"	"Aamp"	846	"ENST00000444053_ENSG00000127837_AAMP"
"AANAT"	"Aanat"	31013	"ENST00000250615_ENSG00000129673_AANAT"
"AAR2"	"Aar2"	9170	"ENST00000320849_ENSG00000131043_AAR2"
"AARD"	"Aard"	17041	"ENST00000378279_ENSG00000205002_AARD"
"AARS"	"Aars"	1213	"ENST00000261772_ENSG00000090861_AARS"
"AARS1"	"Aars"	1213	NA
"AARS2"	"Aars2"	56897	"ENST00000244571_ENSG00000124608_AARS2"
"AARSD1"	"Aarsd1"	6821	"ENST00000427569_ENSG00000266967_AARSD1"
"AASDH"	"A230062G08Rik"	71711	"ENST00000513376_ENSG00000157426_AASDH"
"AASDH"	"Aasdh"	71711	"ENST00000513376_ENSG00000157426_AASDH"
"AASDHPPT"	"Aasdhppt"	9130	"ENST00000278618_ENSG00000149313_AASDHPPT"
"AASS"	"Aass"	4212	"ENST00000417368_ENSG00000008311_AASS"
"AATF"	"Aatf"	40811	"ENST00000619387_ENSG00000275700_AATF"
"AATK"	"Aatk"	74861	"ENST00000326724_ENSG00000181409_AATK"
"ABAT"	"Abat"	542	"ENST00000268251_ENSG00000183044_ABAT"
"ABCA1"	"Abca1"	21130	"ENST00000374736_ENSG00000165029_ABCA1"
"ABCA12"	"Abca12"	45441	"ENST00000272895_ENSG00000144452_ABCA12"
"ABCA13"	"Abca13"	27991	"ENST00000435803_ENSG00000179869_ABCA13"
"ABCA2"	"Abca2"	55590	"ENST00000341511_ENSG00000107331_ABCA2"
"ABCA3"	"Abca3"	37437	"ENST00000301732_ENSG00000167972_ABCA3"
"ABCA4"	"Abca4"	298	"ENST00000370225_ENSG00000198691_ABCA4"
"ABCA5"	"Abca5"	10263	"ENST00000392676_ENSG00000154265_ABCA5"
"ABCA6"	"Abca6"	71264	"ENST00000284425_ENSG00000154262_ABCA6"
"ABCA7"	"Abca7"	22783	"ENST00000263094_ENSG00000064687_ABCA7"
"ABCA8"	"Abca8b"	56029	"ENST00000586539_ENSG00000141338_ABCA8"
"ABCA9"	"Abca9"	33332	"ENST00000340001_ENSG00000154258_ABCA9"
"ABCB1"	"Abcb1a"	55496	"ENST00000265724_ENSG00000085563_ABCB1"
"ABCB10"	"Abcb10"	6474	"ENST00000344517_ENSG00000135776_ABCB10"
"ABCB11"	"Abcb11"	74509	"ENST00000263817_ENSG00000073734_ABCB11"
"ABCB4"	"Abcb4"	113698	"ENST00000265723_ENSG00000005471_ABCB4"
"ABCB5"	"Abcb5"	83488	"ENST00000404938_ENSG00000004846_ABCB5"
"ABCB6"	"Abcb6"	11375	"ENST00000265316_ENSG00000115657_ABCB6"
"ABCB7"	"Abcb7"	3175	"ENST00000253577_ENSG00000131269_ABCB7"
"ABCB8"	"Abcb8"	5203	"ENST00000297504_ENSG00000197150_ABCB8"
"ABCB9"	"Abcb9"	10491	"ENST00000280560_ENSG00000150967_ABCB9"
"ABCC1"	"Abcc1"	55459	"ENST00000399410_ENSG00000103222_ABCC1"
"ABCC10"	"Abcc10"	58616	"ENST00000372530_ENSG00000124574_ABCC10"
"ABCC12"	"Abcc12"	57211	"ENST00000311303_ENSG00000140798_ABCC12"
"ABCC2"	"Abcc2"	68052	"ENST00000647814_ENSG00000023839_ABCC2"
"ABCC3"	"Abcc3"	68364	"ENST00000285238_ENSG00000108846_ABCC3"
"ABCC4"	"Abcc4"	74563	"ENST00000645237_ENSG00000125257_ABCC4"
"ABCC5"	"Abcc5"	21164	"ENST00000334444_ENSG00000114770_ABCC5"
"ABCC6"	"Abcc6"	55559	"ENST00000205557_ENSG00000091262_ABCC6"
"ABCC8"	"Abcc8"	68048	"ENST00000644772_ENSG00000006071_ABCC8"
"ABCC9"	"Abcc9"	56521	"ENST00000261200_ENSG00000069431_ABCC9"
"ABCD1"	"Abcd1"	55426	"ENST00000218104_ENSG00000101986_ABCD1"
"ABCD2"	"Abcd2"	55873	"ENST00000308666_ENSG00000173208_ABCD2"
